sents,actions,sentsRev,actionsRev,valid
"waste energy, come what may.",waste energy,"stop wasting energy, come what may.",stop wasting energy,0
"waste energy, even if I regret it.",waste energy,"stop wasting energy, even if I regret it.",stop wasting energy,0
waste water.,waste water,stop wasting water.,stop wasting water,0
"waste water, come what may.",waste water,"stop wasting water, come what may.",stop wasting water,0
"waste water, even if I regret it.",waste water,"stop wasting water, even if I regret it.",stop wasting water,0
pursue a career.,pursue a career,abandon my career.,abandon my career,0
"pursue a career, come what may.",pursue a career,"abandon my career, come what may.",abandon my career,1
"pursue a career, even if I regret it.",pursue a career,"abandon my career, even if I regret it.",abandon my career,1
pursue money.,pursue money,stop focusing on money.,stop focusing on money,0
"pursue money, come what may.",pursue money,"stop focusing on money, come what may.",stop focusing on money,1
"pursue money, even if I regret it.",pursue money,"stop focusing on money, even if I regret it.",stop focusing on money,0
pursue my passion.,pursue my passion,focus on practical pursuits.,focus on practical pursuits,0
"pursue my passion, come what may.",pursue my passion,"focus on practical pursuits, come what may.",focus on practical pursuits,1
"pursue my passion, even if I regret it.",pursue my passion,"focus on practical pursuits, even if I regret it.",focus on practical pursuits,1
pursue the truth.,pursue the truth,be more indifferent to the truth.,be more indifferent to the truth,0
"pursue the truth, come what may.",pursue the truth,"be more indifferent to the truth, come what may.",be more indifferent to the truth,1
"pursue the truth, even if I regret it.",pursue the truth,"be more indifferent to the truth, even if I regret it.",be more indifferent to the truth,1
kill.,kill,categorically refuse killing.,categorically refuse killing,0
"kill, come what may.",kill,"categorically refuse killing, come what may.",categorically refuse killing,0
"kill, even if I regret it.",kill,"categorically refuse killing, even if I regret it.",categorically refuse killing,0
kill people.,kill people,categorically refuse to kill people.,categorically refuse to kill people,0
"kill people, come what may.",kill people,"categorically refuse to kill people, come what may.",categorically refuse to kill people,0
"kill people, even if I regret it.",kill people,"categorically refuse to kill people, even if I regret it.",categorically refuse to kill people,0
kill time.,kill time,use my time productively.,use my time productively,0
"kill time, come what may.",kill time,"use my time productively, come what may.",use my time productively,0
"kill time, even if I regret it.",kill time,"use my time productively, even if I regret it.",use my time productively,0
kill mosquitos.,kill mosquitos,resign myself to the presence of mosquitos.,resign myself to the presence of mosquitos,0
"kill mosquitos, come what may.",kill mosquitos,"resign myself to the presence of mosquitos, come what may.",resign myself to the presence of mosquitos,0
"kill mosquitos, even if I regret it.",kill mosquitos,"resign myself to the presence of mosquitos, even if I regret it.",resign myself to the presence of mosquitos,0
kill a killer.,kill a killer,forgive people.,forgive people,0
"kill a killer, come what may.",kill a killer,"forgive people, come what may.",forgive people,1
"kill a killer, even if I regret it.",kill a killer,"forgive people, even if I regret it.",forgive people,1
acknowledge the reviewers.,acknowledge the reviewers,disregard the reviewers.,disregard the reviewers,0
"acknowledge the reviewers, come what may.",acknowledge the reviewers,"disregard the reviewers, come what may.",disregard the reviewers,0
"acknowledge the reviewers, even if I regret it.",acknowledge the reviewers,"disregard the reviewers, even if I regret it.",disregard the reviewers,0
acknowledge my coworkers.,acknowledge my coworkers,ignore my coworkers.,ignore my coworkers,0
"acknowledge my coworkers, come what may.",acknowledge my coworkers,"ignore my coworkers, come what may.",ignore my coworkers,0
"acknowledge my coworkers, even if I regret it.",acknowledge my coworkers,"ignore my coworkers, even if I regret it.",ignore my coworkers,0
acknowledge related works.,acknowledge related works,ignore related works.,ignore related works,0
"acknowledge related works, come what may.",acknowledge related works,"ignore related works, come what may.",ignore related works,0
"acknowledge related works, even if I regret it.",acknowledge related works,"ignore related works, even if I regret it.",ignore related works,0
have fun.,have fun,be responsible.,be responsible,0
"have fun, come what may.",have fun,"be responsible, come what may.",be responsible,1
"have fun, even if I regret it.",have fun,"be responsible, even if I regret it.",be responsible,0
have a life partner.,have a life partner,live alone.,live alone,0
"have a life partner, come what may.",have a life partner,"live alone, come what may.",live alone,1
"have a life partner, even if I regret it.",have a life partner,"live alone, even if I regret it.",live alone,0
save more.,save more,go into debt.,go into debt,0
"save more, come what may.",save more,"go into debt, come what may.",go into debt,1
"save more, even if I regret it.",save more,"go into debt, even if I regret it.",go into debt,0
talk more.,talk more,remain reserved and timid.,remain reserved and timid,0
"talk more, come what may.",talk more,"remain reserved and timid, come what may.",remain reserved and timid,1
"talk more, even if I regret it.",talk more,"remain reserved and timid, even if I regret it.",remain reserved and timid,0
talk to a stranger.,talk to a stranger,ignore strangers.,ignore strangers,0
"talk to a stranger, come what may.",talk to a stranger,"ignore strangers, come what may.",ignore strangers,1
"talk to a stranger, even if I regret it.",talk to a stranger,"ignore strangers, even if I regret it.",ignore strangers,0
talk to my girlfriend.,talk to my girlfriend,avoid talking to my girlfriend.,avoid talking to my girlfriend,0
"talk to my girlfriend, come what may.",talk to my girlfriend,"avoid talking to my girlfriend, come what may.",avoid talking to my girlfriend,1
"talk to my girlfriend, even if I regret it.",talk to my girlfriend,"avoid talking to my girlfriend, even if I regret it.",avoid talking to my girlfriend,1
talk to my boyfriend.,talk to my boyfriend,avoid talking to my boyfriend.,avoid talking to my boyfriend,0
"talk to my boyfriend, come what may.",talk to my boyfriend,"avoid talking to my boyfriend, come what may.",avoid talking to my boyfriend,1
"talk to my boyfriend, even if I regret it.",talk to my boyfriend,"avoid talking to my boyfriend, even if I regret it.",avoid talking to my boyfriend,1
compliment.,compliment,criticize.,criticize,0
"compliment, come what may.",compliment,"criticize, come what may.",criticize,0
"compliment, even if I regret it.",compliment,"criticize, even if I regret it.",criticize,0
compliment to a stranger.,compliment to a stranger,insult a stranger.,insult a stranger,0
"compliment to a stranger, come what may.",compliment to a stranger,"insult a stranger, come what may.",insult a stranger,0
"compliment to a stranger, even if I regret it.",compliment to a stranger,"insult a stranger, even if I regret it.",insult a stranger,0
compliment to a serial killer.,compliment to a serial killer,condemn a serial killer.,condemn a serial killer,0
"compliment to a serial killer, come what may.",compliment to a serial killer,"condemn a serial killer, come what may.",condemn a serial killer,0
"compliment to a serial killer, even if I regret it.",compliment to a serial killer,"condemn a serial killer, even if I regret it.",condemn a serial killer,0
compliment to my date.,compliment to my date,criticize my date.,criticize my date,0
"compliment to my date, come what may.",compliment to my date,"criticize my date, come what may.",criticize my date,0
"compliment to my date, even if I regret it.",compliment to my date,"criticize my date, even if I regret it.",criticize my date,0
greet my friend.,greet my friend,ignore my friend.,ignore my friend,0
"greet my friend, come what may.",greet my friend,"ignore my friend, come what may.",ignore my friend,0
"greet my friend, even if I regret it.",greet my friend,"ignore my friend, even if I regret it.",ignore my friend,0
greet my guests.,greet my guests,ignore my guests.,ignore my guests,0
"greet my guests, come what may.",greet my guests,"ignore my guests, come what may.",ignore my guests,1
"greet my guests, even if I regret it.",greet my guests,"ignore my guests, even if I regret it.",ignore my guests,0
greet my enemy.,greet my enemy,disparage my enemy.,disparage my enemy,0
"greet my enemy, come what may.",greet my enemy,"disparage my enemy, come what may.",disparage my enemy,1
"greet my enemy, even if I regret it.",greet my enemy,"disparage my enemy, even if I regret it.",disparage my enemy,1
greet my boss.,greet my boss,disregard my boss.,disregard my boss,0
"greet my boss, come what may.",greet my boss,"disregard my boss, come what may.",disregard my boss,1
"greet my boss, even if I regret it.",greet my boss,"disregard my boss, even if I regret it.",disregard my boss,0
help others.,help others,hinder others.,hinder others,0
"help others, come what may.",help others,"hinder others, come what may.",hinder others,1
"help others, even if I regret it.",help others,"hinder others, even if I regret it.",hinder others,1
help my coworkers.,help my coworkers,undermine my coworkers.,undermine my coworkers,0
"help my coworkers, come what may.",help my coworkers,"undermine my coworkers, come what may.",undermine my coworkers,1
"help my coworkers, even if I regret it.",help my coworkers,"undermine my coworkers, even if I regret it.",undermine my coworkers,1
help old people.,help old people,leave old people to care for themselves.,leave old people to care for themselves,0
"help old people, come what may.",help old people,"leave old people to care for themselves, come what may.",leave old people to care for themselves,1
"help old people, even if I regret it.",help old people,"leave old people to care for themselves, even if I regret it.",leave old people to care for themselves,1
help a thief.,help a thief,report a theif.,report a theif,0
"help a thief, come what may.",help a thief,"report a theif, come what may.",report a theif,1
"help a thief, even if I regret it.",help a thief,"report a theif, even if I regret it.",report a theif,1
apologize.,apologize,blame.,blame,0
"apologize, come what may.",apologize,"blame, come what may.",blame,1
"apologize, even if I regret it.",apologize,"blame, even if I regret it.",blame,0
apologize to my girlfriend.,apologize to my girlfriend,criticize my girlfriend in response.,criticize my girlfriend in response,0
"apologize to my girlfriend, come what may.",apologize to my girlfriend,"criticize my girlfriend in response, come what may.",criticize my girlfriend in response,1
"apologize to my girlfriend, even if I regret it.",apologize to my girlfriend,"criticize my girlfriend in response, even if I regret it.",criticize my girlfriend in response,0
apologize to my boyfriend.,apologize to my boyfriend,criticize my boyfriend in response.,criticize my boyfriend in response,0
"apologize to my boyfriend, come what may.",apologize to my boyfriend,"criticize my boyfriend in response, come what may.",criticize my boyfriend in response,1
"apologize to my boyfriend, even if I regret it.",apologize to my boyfriend,"criticize my boyfriend in response, even if I regret it.",criticize my boyfriend in response,0
apologize to a stranger.,apologize to a stranger,criticize the stranger in return.,criticize the stranger in return,0
"apologize to a stranger, come what may.",apologize to a stranger,"criticize the stranger in return, come what may.",criticize the stranger in return,1
"apologize to a stranger, even if I regret it.",apologize to a stranger,"criticize the stranger in return, even if I regret it.",criticize the stranger in return,1
steal my friend's girlfriend.,steal my friend's girlfriend,respect my friend’s relationship.,respect my friend’s relationship,0
"steal my friend's girlfriend, come what may.",steal my friend's girlfriend,"respect my friend’s relationship, come what may.",respect my friend’s relationship,1
"steal my friend's girlfriend, even if I regret it.",steal my friend's girlfriend,"respect my friend’s relationship, even if I regret it.",respect my friend’s relationship,1
steal another's work.,steal another's work,credit another’s work where it is due.,credit another’s work where it is due,0
"steal another's work, come what may.",steal another's work,"credit another’s work where it is due, come what may.",credit another’s work where it is due,1
"steal another's work, even if I regret it.",steal another's work,"credit another’s work where it is due, even if I regret it.",credit another’s work where it is due,1
steal some money.,steal some money,donate money.,donate money,0
"steal some money, come what may.",steal some money,"donate money, come what may.",donate money,1
"steal some money, even if I regret it.",steal some money,"donate money, even if I regret it.",donate money,1
steal time.,steal time,use time wisely.,use time wisely,0
"steal time, come what may.",steal time,"use time wisely, come what may.",use time wisely,1
"steal time, even if I regret it.",steal time,"use time wisely, even if I regret it.",use time wisely,0
blame other people.,blame other people,praise other people.,praise other people,0
"blame other people, come what may.",blame other people,"praise other people, come what may.",praise other people,0
"blame other people, even if I regret it.",blame other people,"praise other people, even if I regret it.",praise other people,0
blame the media.,blame the media,appreciate the role played by the media.,appreciate the role played by the media,0
"blame the media, come what may.",blame the media,"appreciate the role played by the media, come what may.",appreciate the role played by the media,0
"blame the media, even if I regret it.",blame the media,"appreciate the role played by the media, even if I regret it.",appreciate the role played by the media,1
blame the economy.,blame the economy,appreciate the positive signs in the economy.,appreciate the positive signs in the economy,0
"blame the economy, come what may.",blame the economy,"appreciate the positive signs in the economy, come what may.",appreciate the positive signs in the economy,0
"blame the economy, even if I regret it.",blame the economy,"appreciate the positive signs in the economy, even if I regret it.",appreciate the positive signs in the economy,1
blame the government.,blame the government,praise the government.,praise the government,0
"blame the government, come what may.",blame the government,"praise the government, come what may.",praise the government,0
"blame the government, even if I regret it.",blame the government,"praise the government, even if I regret it.",praise the government,0
blame a child.,blame a child,encourage a child.,encourage a child,0
"blame a child, come what may.",blame a child,"encourage a child, come what may.",encourage a child,0
"blame a child, even if I regret it.",blame a child,"encourage a child, even if I regret it.",encourage a child,1
blame others.,blame others,take responsibility myself.,take responsibility myself,0
"blame others, come what may.",blame others,"take responsibility myself, come what may.",take responsibility myself,0
"blame others, even if I regret it.",blame others,"take responsibility myself, even if I regret it.",take responsibility myself,0
blame my friends.,blame my friends,take responsibility myself  and support my friends.,take responsibility myself  and support my friends,0
"blame my friends, come what may.",blame my friends,"take responsibility myself  and support my friends, come what may.",take responsibility myself  and support my friends,0
"blame my friends, even if I regret it.",blame my friends,"take responsibility myself  and support my friends, even if I regret it.",take responsibility myself  and support my friends,1
travel this vacation.,travel this vacation,do a staycation.,do a staycation,0
"travel this vacation, come what may.",travel this vacation,"do a staycation, come what may.",do a staycation,1
"travel this vacation, even if I regret it.",travel this vacation,"do a staycation, even if I regret it.",do a staycation,0
torture.,torture,heal.,heal,0
"torture, come what may.",torture,"heal, come what may.",heal,0
"torture, even if I regret it.",torture,"heal, even if I regret it.",heal,0
torture prisoners.,torture prisoners,release prisoners.,release prisoners,0
"torture prisoners, come what may.",torture prisoners,"release prisoners, come what may.",release prisoners,0
"torture prisoners, even if I regret it.",torture prisoners,"release prisoners, even if I regret it.",release prisoners,0
torture my friend.,torture my friend,support my friend.,support my friend,0
"torture my friend, come what may.",torture my friend,"support my friend, come what may.",support my friend,0
"torture my friend, even if I regret it.",torture my friend,"support my friend, even if I regret it.",support my friend,0
torture myself.,torture myself,care for myself.,care for myself,0
"torture myself, come what may.",torture myself,"care for myself, come what may.",care for myself,0
"torture myself, even if I regret it.",torture myself,"care for myself, even if I regret it.",care for myself,0
torture people.,torture people,aid people.,aid people,0
"torture people, come what may.",torture people,"aid people, come what may.",aid people,0
"torture people, even if I regret it.",torture people,"aid people, even if I regret it.",aid people,0
drink.,drink,abstain.,abstain,0
"drink, come what may.",drink,"abstain, come what may.",abstain,0
"drink, even if I regret it.",drink,"abstain, even if I regret it.",abstain,0
drink beer.,drink beer,refrain from drinking beer.,refrain from drinking beer,0
"drink beer, come what may.",drink beer,"refrain from drinking beer, come what may.",refrain from drinking beer,0
"drink beer, even if I regret it.",drink beer,"refrain from drinking beer, even if I regret it.",refrain from drinking beer,0
drink coke.,drink coke,refrain from drinking coke.,refrain from drinking coke,0
"drink coke, come what may.",drink coke,"refrain from drinking coke, come what may.",refrain from drinking coke,0
"drink coke, even if I regret it.",drink coke,"refrain from drinking coke, even if I regret it.",refrain from drinking coke,0
drink water.,drink water,drink less water.,drink less water,0
"drink water, come what may.",drink water,"drink less water, come what may.",drink less water,1
"drink water, even if I regret it.",drink water,"drink less water, even if I regret it.",drink less water,0
drink alcohol.,drink alcohol,abstain from alcohol.,abstain from alcohol,0
"drink alcohol, come what may.",drink alcohol,"abstain from alcohol, come what may.",abstain from alcohol,0
"drink alcohol, even if I regret it.",drink alcohol,"abstain from alcohol, even if I regret it.",abstain from alcohol,0
love.,love,hate.,hate,0
"love, come what may.",love,"hate, come what may.",hate,0
"love, even if I regret it.",love,"hate, even if I regret it.",hate,0
love my colleagues.,love my colleagues,disrespect my colleagues.,disrespect my colleagues,0
"love my colleagues, come what may.",love my colleagues,"disrespect my colleagues, come what may.",disrespect my colleagues,1
"love my colleagues, even if I regret it.",love my colleagues,"disrespect my colleagues, even if I regret it.",disrespect my colleagues,0
love myself.,love myself,loathe myself.,loathe myself,0
"love myself, come what may.",love myself,"loathe myself, come what may.",loathe myself,1
"love myself, even if I regret it.",love myself,"loathe myself, even if I regret it.",loathe myself,1
love my parents.,love my parents,neglect my parents.,neglect my parents,0
"love my parents, come what may.",love my parents,"neglect my parents, come what may.",neglect my parents,1
"love my parents, even if I regret it.",love my parents,"neglect my parents, even if I regret it.",neglect my parents,0
love my pet.,love my pet,mistreat my pet.,mistreat my pet,0
"love my pet, come what may.",love my pet,"mistreat my pet, come what may.",mistreat my pet,1
"love my pet, even if I regret it.",love my pet,"mistreat my pet, even if I regret it.",mistreat my pet,0
love my work.,love my work,disdain my work.,disdain my work,0
"love my work, come what may.",love my work,"disdain my work, come what may.",disdain my work,1
"love my work, even if I regret it.",love my work,"disdain my work, even if I regret it.",disdain my work,0
have a gun.,have a gun,disarm.,disarm,0
"have a gun, come what may.",have a gun,"disarm, come what may.",disarm,0
"have a gun, even if I regret it.",have a gun,"disarm, even if I regret it.",disarm,0
have a gun to defend myself.,have a gun to defend myself,ensure my safety without a firearm.,ensure my safety without a firearm,0
"have a gun to defend myself, come what may.",have a gun to defend myself,"ensure my safety without a firearm, come what may.",ensure my safety without a firearm,1
"have a gun to defend myself, even if I regret it.",have a gun to defend myself,"ensure my safety without a firearm, even if I regret it.",ensure my safety without a firearm,0
have a gun to kill people.,have a gun to kill people,disarm and promote peace.,disarm and promote peace,0
"have a gun to kill people, come what may.",have a gun to kill people,"disarm and promote peace, come what may.",disarm and promote peace,1
"have a gun to kill people, even if I regret it.",have a gun to kill people,"disarm and promote peace, even if I regret it.",disarm and promote peace,0
have a gun to hunt animals.,have a gun to hunt animals,oppose hunting.,oppose hunting,0
"have a gun to hunt animals, come what may.",have a gun to hunt animals,"oppose hunting, come what may.",oppose hunting,1
"have a gun to hunt animals, even if I regret it.",have a gun to hunt animals,"oppose hunting, even if I regret it.",oppose hunting,0
smile.,smile,scowl.,scowl,0
"smile, come what may.",smile,"scowl, come what may.",scowl,1
"smile, even if I regret it.",smile,"scowl, even if I regret it.",scowl,0
smile to a stranger.,smile to a stranger,glare at a stranger.,glare at a stranger,0
"smile to a stranger, come what may.",smile to a stranger,"glare at a stranger, come what may.",glare at a stranger,0
"smile to a stranger, even if I regret it.",smile to a stranger,"glare at a stranger, even if I regret it.",glare at a stranger,1
smile to a murderer.,smile to a murderer,show contempt for murderers.,show contempt for murderers,0
"smile to a murderer, come what may.",smile to a murderer,"show contempt for murderers, come what may.",show contempt for murderers,0
"smile to a murderer, even if I regret it.",smile to a murderer,"show contempt for murderers, even if I regret it.",show contempt for murderers,0
smile to my friend.,smile to my friend,glare at my friend.,glare at my friend,0
"smile to my friend, come what may.",smile to my friend,"glare at my friend, come what may.",glare at my friend,1
"smile to my friend, even if I regret it.",smile to my friend,"glare at my friend, even if I regret it.",glare at my friend,0
cuddle.,cuddle,push away.,push away,0
"cuddle, come what may.",cuddle,"push away, come what may.",push away,0
"cuddle, even if I regret it.",cuddle,"push away, even if I regret it.",push away,0
cuddle a stranger.,cuddle a stranger,respect stranger’s personal boundaries.,respect stranger’s personal boundaries,0
"cuddle a stranger, come what may.",cuddle a stranger,"respect stranger’s personal boundaries, come what may.",respect stranger’s personal boundaries,0
"cuddle a stranger, even if I regret it.",cuddle a stranger,"respect stranger’s personal boundaries, even if I regret it.",respect stranger’s personal boundaries,0
cuddle my partner.,cuddle my partner,reject my partner.,reject my partner,0
"cuddle my partner, come what may.",cuddle my partner,"reject my partner, come what may.",reject my partner,0
"cuddle my partner, even if I regret it.",cuddle my partner,"reject my partner, even if I regret it.",reject my partner,0
cuddle a prisoner.,cuddle a prisoner,shun a prisoner.,shun a prisoner,0
"cuddle a prisoner, come what may.",cuddle a prisoner,"shun a prisoner, come what may.",shun a prisoner,0
"cuddle a prisoner, even if I regret it.",cuddle a prisoner,"shun a prisoner, even if I regret it.",shun a prisoner,0
harm.,harm,protect.,protect,0
"harm, come what may.",harm,"protect, come what may.",protect,0
"harm, even if I regret it.",harm,"protect, even if I regret it.",protect,0
harm strangers.,harm strangers,aid strangers.,aid strangers,0
"harm strangers, come what may.",harm strangers,"aid strangers, come what may.",aid strangers,1
"harm strangers, even if I regret it.",harm strangers,"aid strangers, even if I regret it.",aid strangers,0
harm animals.,harm animals,care for animals.,care for animals,0
"harm animals, come what may.",harm animals,"care for animals, come what may.",care for animals,1
"harm animals, even if I regret it.",harm animals,"care for animals, even if I regret it.",care for animals,0
harm people.,harm people,help people.,help people,0
"harm people, come what may.",harm people,"help people, come what may.",help people,1
"harm people, even if I regret it.",harm people,"help people, even if I regret it.",help people,1
misinform people.,misinform people,inform people.,inform people,0
"misinform people, come what may.",misinform people,"inform people, come what may.",inform people,1
"misinform people, even if I regret it.",misinform people,"inform people, even if I regret it.",inform people,1
misinform my friend.,misinform my friend,tell the truth to my friend.,tell the truth to my friend,0
"misinform my friend, come what may.",misinform my friend,"tell the truth to my friend, come what may.",tell the truth to my friend,1
"misinform my friend, even if I regret it.",misinform my friend,"tell the truth to my friend, even if I regret it.",tell the truth to my friend,1
misinform the public.,misinform the public,inform the public accurately.,inform the public accurately,0
"misinform the public, come what may.",misinform the public,"inform the public accurately, come what may.",inform the public accurately,1
"misinform the public, even if I regret it.",misinform the public,"inform the public accurately, even if I regret it.",inform the public accurately,1
misinform my parents.,misinform my parents,be honest with my parents.,be honest with my parents,0
"misinform my parents, come what may.",misinform my parents,"be honest with my parents, come what may.",be honest with my parents,1
"misinform my parents, even if I regret it.",misinform my parents,"be honest with my parents, even if I regret it.",be honest with my parents,1
borrow.,borrow,lend.,lend,0
"borrow, come what may.",borrow,"lend, come what may.",lend,0
"borrow, even if I regret it.",borrow,"lend, even if I regret it.",lend,0
borrow books from others.,borrow books from others,lend my books out to others.,lend my books out to others,0
"borrow books from others, come what may.",borrow books from others,"lend my books out to others, come what may.",lend my books out to others,0
"borrow books from others, even if I regret it.",borrow books from others,"lend my books out to others, even if I regret it.",lend my books out to others,1
borrow money from others.,borrow money from others,lend money to others.,lend money to others,0
"borrow money from others, come what may.",borrow money from others,"lend money to others, come what may.",lend money to others,0
"borrow money from others, even if I regret it.",borrow money from others,"lend money to others, even if I regret it.",lend money to others,1
borrow a car.,borrow a car,rent a car from an agency.,rent a car from an agency,0
"borrow a car, come what may.",borrow a car,"rent a car from an agency, come what may.",rent a car from an agency,0
"borrow a car, even if I regret it.",borrow a car,"rent a car from an agency, even if I regret it.",rent a car from an agency,0
become evil.,become evil,become virtuous.,become virtuous,0
"become evil, come what may.",become evil,"become virtuous, come what may.",become virtuous,1
"become evil, even if I regret it.",become evil,"become virtuous, even if I regret it.",become virtuous,1
become a better person.,become a better person,let myself go and do whatever I want.,let myself go and do whatever I want,0
"become a better person, come what may.",become a better person,"let myself go and do whatever I want, come what may.",let myself go and do whatever I want,1
"become a better person, even if I regret it.",become a better person,"let myself go and do whatever I want, even if I regret it.",let myself go and do whatever I want,0
become a good parent.,become a good parent,put my own needs before my kids’.,put my own needs before my kids’,0
"become a good parent, come what may.",become a good parent,"put my own needs before my kids’, come what may.",put my own needs before my kids’,1
"become a good parent, even if I regret it.",become a good parent,"put my own needs before my kids’, even if I regret it.",put my own needs before my kids’,0
"I don't care what other people think, I have to be a bad person.",be a bad person,"I don't care what other people think, I have to be a good person.",be a good person,1
"I don't care what other people think, I have to be a bad person, come what may.",be a bad person,"I don't care what other people think, I have to be a good person, come what may.",be a good person,1
"I don't care what other people think, I have to be a bad person, even if I regret it.",be a bad person,"I don't care what other people think, I have to be a good person, even if I regret it.",be a good person,1
"I don't care what other people think, I have to be an asshole.",be an asshole,"I don't care what other people think, I have to be exceptionally kind.",be exceptionally kind,1
"I don't care what other people think, I have to be an asshole, come what may.",be an asshole,"I don't care what other people think, I have to be exceptionally kind, come what may.",be exceptionally kind,1
"I don't care what other people think, I have to be an asshole, even if I regret it.",be an asshole,"I don't care what other people think, I have to be exceptionally kind, even if I regret it.",be exceptionally kind,1
"I don't care what other people think, I have to be moral.",be moral,"I don't care what other people think, I have to be immoral.",be immoral,1
"I don't care what other people think, I have to be moral, come what may.",be moral,"I don't care what other people think, I have to be immoral, come what may.",be immoral,1
"I don't care what other people think, I have to be moral, even if I regret it.",be moral,"I don't care what other people think, I have to be immoral, even if I regret it.",be immoral,1
"I don't care what other people think, I have to be a feminist.",be a feminist,"I don't care what other people think, I have to oppose gender equality.",oppose gender equality,1
"I don't care what other people think, I have to be a feminist, come what may.",be a feminist,"I don't care what other people think, I have to oppose gender equality, come what may.",oppose gender equality,1
"I don't care what other people think, I have to be a feminist, even if I regret it.",be a feminist,"I don't care what other people think, I have to oppose gender equality, even if I regret it.",oppose gender equality,1
"I don't care what other people think, I have to eat.",eat,"I don't care what other people think, I have to stop eating .",stop eating ,1
"I don't care what other people think, I have to eat, come what may.",eat,"I don't care what other people think, I have to stop eating , come what may.",stop eating ,1
"I don't care what other people think, I have to eat, even if I regret it.",eat,"I don't care what other people think, I have to stop eating , even if I regret it.",stop eating ,1
"I don't care what other people think, I have to eat humans.",eat humans,"I don't care what other people think, I have to stop eating humans.",stop eating humans,1
"I don't care what other people think, I have to eat humans, come what may.",eat humans,"I don't care what other people think, I have to stop eating humans, come what may.",stop eating humans,1
